OpenCL device: 
OpenCL time: 0 s
Python time: 0.000475333 s

RESULTS (filtered) - OpenCL and Python separately
----------------------+----------+--------------+------------------+------------------
name                  |games     |winning       |opencl_val        |python_val        
----------------------+----------+--------------+------------------+------------------
----------------------+----------+--------------+------------------+------------------

STARTING DATA (all records)
----------------------+----------+--------------
name                  |games     |winning       
Evelyn Thompson 182   |78        |31.700        
Aria Gray 183         |63        |33.100        
Amelia Diaz 184       |40        |43.900        
Sebastian Martin 185  |27        |31.700        
Chloe Adams 186       |32        |42.100        
Ella Kelly 187        |11        |44.100        
Isabella Campbell 188 |75        |49.000        
Chloe Scott 189       |45        |37.400        
James King 190        |63        |47.900        
Victoria James 191    |22        |31.300        
Ella Hall 192         |73        |40.200        
Chloe Diaz 193        |26        |33.100        
Abigail Diaz 194      |14        |44.700        
David Campbell 195    |62        |30.900        
Riley Diaz 196        |13        |48.500        
James Ward 197        |51        |36.400        
Zoe Ramirez 198       |28        |31.500        
Alexander Harris 199  |37        |47.900        
Liam Green 200        |49        |31.400        
Mia Carter 201        |14        |31.700        
Harper James 202      |50        |35.800        
Harper Brooks 203     |36        |37.300        
Grace Lee 204         |17        |30.100        
Lucas Adams 205       |12        |36.900        
Benjamin Carter 206   |48        |45.100        
Victoria Allen 207    |63        |40.500        
Ava Allen 208         |44        |49.400        
Riley Rivera 209      |75        |48.300        
Benjamin King 210     |2         |47.800        
Aria Lewis 211        |7         |32.700        
Harper Gray 212       |3         |41.300        
Logan Green 213       |7         |35.200        
Ethan Brooks 214      |2         |39.000        
David Bennett 215     |2         |45.500        
Riley Bennett 216     |6         |33.300        
Scarlett Gray 217     |4         |40.700        
Ava Campbell 218      |2         |39.200        
Evelyn Ward 219       |1         |46.100        
Harper Hall 220       |2         |47.000        
Isabella Ward 221     |5         |37.900        
Scarlett Lee 222      |7         |49.700        
Sebastian Bennett 223 |2         |44.900        
Abigail Allen 224     |2         |46.000        
Ethan Ward 225        |3         |46.500        
Isabella Young 226    |2         |38.000        
Ethan Wright 227      |2         |46.200        
Ava Wright 228        |3         |42.900        
Chloe Allen 229       |6         |46.900        
Samuel Ward 230       |3         |48.800        
Noah Ramirez 231      |1         |44.400        
Emily Gomez 232       |4         |38.500        
Alexander Martin 233  |3         |35.600        
Victoria Hill 234     |5         |42.300        
Ava Gomez 235         |1         |47.600        
Harper Nelson 236     |4         |37.600        
Noah Thompson 237     |1         |49.800        
Victoria Hall 238     |9         |44.200        
Noah Gomez 239        |6         |48.200        
Grace Adams 240       |10        |33.600        
Amelia Thompson 241   |5         |47.800        
Grace Campbell 242    |6         |49.700        
James Lee 243         |4         |32.000        
Grace Lewis 244       |1         |46.200        
Matthew Young 245     |7         |46.800        
Emily Diaz 246        |3         |46.700        
Aiden Rivera 247      |6         |41.800        
Ethan Ward 248        |3         |43.900        
Liam Campbell 249     |8         |49.700        
Grace Martin 250      |1         |39.800        
Abigail Green 251     |8         |34.400        
Lucas Rivera 252      |3         |48.300        
Amelia Adams 253      |6         |33.500        
Chloe Watson 254      |3         |32.900        
Mia Rivera 255        |2         |40.500        
Lucas Gray 256        |2         |48.700        
Victoria Nelson 257   |7         |36.400        
Matthew Diaz 258      |9         |36.300        
Noah Gray 259         |3         |43.200        
Emily Robinson 260    |3         |44.600        
Olivia Watson 261     |10        |30.000        
Emily Martin 262      |1         |49.800        
Grace Nelson 263      |10        |36.300        
David Green 264       |8         |41.300        
Logan Campbell 265    |6         |44.800        
Scarlett Adams 266    |6         |42.700        
Matthew Gomez 267     |2         |35.300        
Amelia Harris 268     |1         |45.700        
Riley Kelly 269       |3         |38.700        
Benjamin Ward 270     |7         |47.500        
Grace Campbell 271    |10        |39.500        
Joseph Adams 272      |1         |39.000        
Lucas Campbell 273    |2         |36.300        
Ava Green 274         |2         |47.700        
Aiden Hill 275        |8         |41.800        
Ella Allen 276        |7         |48.800        
Riley Rivera 277      |4         |32.000        
Isabella Ramirez 278  |9         |41.000        
Amelia Harris 279     |2         |35.600        
David Allen 280       |8         |41.400        
Joseph Ward 281       |2         |37.200        
Ethan Bennett 282     |8         |43.200        
Joseph Baker 283      |11        |30.500        
Olivia Kelly 284      |5         |39.400        
Ava Nelson 285        |5         |39.700        
Noah Hall 286         |6         |40.800        
Scarlett James 287    |5         |33.700        
Amelia Brooks 288     |5         |35.200        
Ava Ramirez 289       |2         |45.000        
Grace Lee 290         |7         |36.800        
Riley Lee 291         |9         |31.200        
Harper Kelly 292      |8         |43.700        
Zoe Lewis 293         |1         |35.900        
Chloe Scott 294       |3         |47.900        
Ethan Brooks 295      |4         |38.900        
Samuel Carter 296     |11        |30.800        
Isabella Green 297    |3         |49.800        
Ava Harris 298        |2         |48.100        
James King 299        |6         |41.100        
----------------------+----------+--------------
